idactores,nombre,nacionalidad,fechaNacimiento
2,"Bradley Cooper","Estados Unidos",1975-01-05
3,"Rooney Mara","Estados Unidos",1985-04-17
5,"Cate Blanchett",Australia,1969-05-14
6,"Toni Collette",Australia,1972-11-01
7,"Willem Dafoe","Estados Unidos",1955-07-22
8,"David Strathairn","Estados Unidos",1949-01-26
9,"Richard Jenkins","Estados Unidos",1947-05-04
19,"Sam Worthington","Reino Unido",1976-08-02
20,"Zoe Saldana","Estados Unidos",1978-06-19
21,"Sigourney Weaver","Estados Unidos",1949-10-08
22,"Stephen Lang","Estados Unidos",1952-07-11
